scenario,phy,payload_bytes,trial,packets,estimated_lost_packets,duration_s,throughput_kbps,notification_rate_per_s,connection_attempts_used,command_errors,log_json,log_csv,notes
0ft,auto,20,1,0,0,0.0,0.0,0.0,1,1,logs/ble/20251219_235811_ble_throughput.json,logs/ble/20251219_235811_ble_throughput.csv,LinuxA+MockRing
0ft,auto,20,2,838,65496,30.284652709960938,4.427324998047599,27.670781237797488,1,0,logs/ble/20251219_235857_ble_throughput.json,logs/ble/20251219_235857_ble_throughput.csv,LinuxA+MockRing
0ft,auto,60,1,1164,0,29.969218730926514,18.643128638633247,38.83985133048593,1,0,logs/ble/20251219_235950_ble_throughput.json,logs/ble/20251219_235950_ble_throughput.csv,LinuxA+MockRing
0ft,auto,60,2,856,0,30.015087842941284,13.689115359248484,28.518990331767675,1,0,logs/ble/20251220_000040_ble_throughput.json,logs/ble/20251220_000040_ble_throughput.csv,LinuxA+MockRing
0ft,auto,120,1,1123,0,30.06311583518982,35.860554372014676,37.35474413751529,1,0,logs/ble/20251220_000135_ble_throughput.json,logs/ble/20251220_000135_ble_throughput.csv,LinuxA+MockRing
0ft,auto,120,2,1107,0,30.014938831329346,35.40636900751374,36.88163438282681,1,0,logs/ble/20251220_000243_ble_throughput.json,logs/ble/20251220_000243_ble_throughput.csv,LinuxA+MockRing
0ft,auto,180,1,288,0,7.4309539794921875,55.8097925440713,38.75680037782729,1,1,logs/ble/20251220_000328_ble_throughput.json,logs/ble/20251220_000328_ble_throughput.csv,LinuxA+MockRing
0ft,auto,180,2,141,65209,3.469069004058838,58.528671456936024,40.64491073398335,1,1,logs/ble/20251220_000413_ble_throughput.json,logs/ble/20251220_000413_ble_throughput.csv,LinuxA+MockRing
0ft,auto,244,1,10,0,0.49718308448791504,28.96317362613333,20.113315018148146,1,1,logs/ble/20251220_000516_ble_throughput.json,logs/ble/20251220_000516_ble_throughput.csv,LinuxA+MockRing
0ft,auto,244,2,271,65492,26.32514214515686,20.094554364916153,10.294341375469342,1,1,logs/ble/20251220_000600_ble_throughput.json,logs/ble/20251220_000600_ble_throughput.csv,LinuxA+MockRing
3ft,auto,20,1,1175,0,30.014999389648438,6.263535026585321,39.147093916158255,1,0,logs/ble/20251220_001127_ble_throughput.json,logs/ble/20251220_001127_ble_throughput.csv,LinuxA+MockRing
3ft,auto,20,2,1175,0,30.015169858932495,6.263499453229025,39.146871582681406,1,0,logs/ble/20251220_001211_ble_throughput.json,logs/ble/20251220_001211_ble_throughput.csv,LinuxA+MockRing
3ft,auto,60,1,1168,0,29.97092604637146,18.70612870395027,38.97110146656306,1,0,logs/ble/20251220_001253_ble_throughput.json,logs/ble/20251220_001253_ble_throughput.csv,LinuxA+MockRing
3ft,auto,60,2,1170,0,30.014739513397217,18.71080706028874,38.98084804226821,1,0,logs/ble/20251220_001331_ble_throughput.json,logs/ble/20251220_001331_ble_throughput.csv,LinuxA+MockRing
3ft,auto,120,1,1164,0,29.971017360687256,37.28401964311486,38.837520461577974,1,0,logs/ble/20251220_001410_ble_throughput.json,logs/ble/20251220_001410_ble_throughput.csv,LinuxA+MockRing
3ft,auto,120,2,1164,0,30.014843463897705,37.22957946937399,38.78081194726457,1,0,logs/ble/20251220_001449_ble_throughput.json,logs/ble/20251220_001449_ble_throughput.csv,LinuxA+MockRing
3ft,auto,180,1,1166,0,30.01699447631836,55.936313055081634,38.84466184380669,1,0,logs/ble/20251220_001528_ble_throughput.json,logs/ble/20251220_001528_ble_throughput.csv,LinuxA+MockRing
3ft,auto,180,2,1165,0,30.015004634857178,55.892045342273946,38.81392037657913,1,0,logs/ble/20251220_001606_ble_throughput.json,logs/ble/20251220_001606_ble_throughput.csv,LinuxA+MockRing
3ft,auto,244,1,671,0,30.147950172424316,43.44547448529481,22.256902912548572,1,0,logs/ble/20251220_001644_ble_throughput.json,logs/ble/20251220_001644_ble_throughput.csv,LinuxA+MockRing
3ft,auto,244,2,663,0,30.148017168045044,42.92740025940224,21.991496034529835,1,0,logs/ble/20251220_001722_ble_throughput.json,logs/ble/20251220_001722_ble_throughput.csv,LinuxA+MockRing
6ft,auto,20,1,43,0,2.610940456390381,2.635065837354094,16.46916148346309,5,1,logs/ble/20251220_001942_ble_throughput.json,logs/ble/20251220_001942_ble_throughput.csv,LinuxA+MockRing
6ft,auto,20,2,956,65391,30.330137014389038,5.043168777227536,31.519804857672103,1,0,logs/ble/20251220_002401_ble_throughput.json,logs/ble/20251220_002401_ble_throughput.csv,LinuxA+MockRing
6ft,auto,60,1,1168,0,29.970903635025024,18.70614269183452,38.971130607988584,1,0,logs/ble/20251220_002439_ble_throughput.json,logs/ble/20251220_002439_ble_throughput.csv,LinuxA+MockRing
6ft,auto,60,2,1167,0,30.01703453063965,18.66140372488232,38.87792442683817,1,0,logs/ble/20251220_002521_ble_throughput.json,logs/ble/20251220_002521_ble_throughput.csv,LinuxA+MockRing
6ft,auto,120,1,1163,0,29.97191882133484,37.250868276249925,38.80298778776034,1,0,logs/ble/20251220_002600_ble_throughput.json,logs/ble/20251220_002600_ble_throughput.csv,LinuxA+MockRing
6ft,auto,120,2,1163,0,29.971840858459473,37.250965173361266,38.80308872225132,1,0,logs/ble/20251220_002639_ble_throughput.json,logs/ble/20251220_002639_ble_throughput.csv,LinuxA+MockRing
6ft,auto,180,1,1167,0,30.063990831375122,55.89677063918713,38.81720183276884,1,0,logs/ble/20251220_002721_ble_throughput.json,logs/ble/20251220_002721_ble_throughput.csv,LinuxA+MockRing
6ft,auto,180,2,1168,0,30.063965320587158,55.94471594365023,38.85049718309044,1,0,logs/ble/20251220_002805_ble_throughput.json,logs/ble/20251220_002805_ble_throughput.csv,LinuxA+MockRing
6ft,auto,244,1,574,0,29.971139907836914,37.384230411170414,19.151757382771727,1,0,logs/ble/20251220_002845_ble_throughput.json,logs/ble/20251220_002845_ble_throughput.csv,LinuxA+MockRing
6ft,auto,244,2,641,0,30.150044918060303,41.50017034470467,21.26033316839379,1,0,logs/ble/20251220_002924_ble_throughput.json,logs/ble/20251220_002924_ble_throughput.csv,LinuxA+MockRing
9ft,auto,20,1,1,0,0.0,0.0,0.0,1,1,logs/ble/20251220_003102_ble_throughput.json,logs/ble/20251220_003102_ble_throughput.csv,LinuxA+MockRing
9ft,auto,20,2,343,65493,18.3178129196167,2.995990855503746,18.72494284689841,1,1,logs/ble/20251220_003140_ble_throughput.json,logs/ble/20251220_003140_ble_throughput.csv,LinuxA+MockRing
9ft,auto,60,1,218,64786,11.068522214889526,9.049085149349333,19.695492837042277,1,1,logs/ble/20251220_003228_ble_throughput.json,logs/ble/20251220_003228_ble_throughput.csv,LinuxA+MockRing
9ft,auto,60,2,1152,65072,30.37454581260681,18.204716653590147,37.9264930283128,1,0,logs/ble/20251220_003308_ble_throughput.json,logs/ble/20251220_003308_ble_throughput.csv,LinuxA+MockRing
9ft,auto,120,1,997,0,26.05492615699768,36.7347039954263,38.265316661902396,1,1,logs/ble/20251220_003407_ble_throughput.json,logs/ble/20251220_003407_ble_throughput.csv,LinuxA+MockRing
9ft,auto,120,2,1017,64489,28.0811767578125,34.7677737446803,36.21643098404198,1,1,logs/ble/20251220_003445_ble_throughput.json,logs/ble/20251220_003445_ble_throughput.csv,LinuxA+MockRing
9ft,auto,180,1,1162,64421,30.257089614868164,55.25448816393984,38.40422244144062,1,0,logs/ble/20251220_003526_ble_throughput.json,logs/ble/20251220_003526_ble_throughput.csv,LinuxA+MockRing
9ft,auto,180,2,1162,0,30.021808624267578,55.73548285986457,38.705196430461505,1,0,logs/ble/20251220_003609_ble_throughput.json,logs/ble/20251220_003609_ble_throughput.csv,LinuxA+MockRing
9ft,auto,244,1,387,0,30.14999771118164,25.05552429013413,12.835821869945763,1,0,logs/ble/20251220_003652_ble_throughput.json,logs/ble/20251220_003652_ble_throughput.csv,LinuxA+MockRing
9ft,auto,244,2,414,0,30.01298499107361,26.925945561241296,13.794029488340827,1,0,logs/ble/20251220_003753_ble_throughput.json,logs/ble/20251220_003753_ble_throughput.csv,LinuxA+MockRing
